TSC_CCS Type,TSC_CCS Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,Proficiency Level,Proficiency Description,Knowledge / Ability Classification,Knowledge / Ability Items
tsc,WST-TEM-3025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,3,Implement technology plans and supervise use of technology to execute tasks,knowledge,"Workflow, procedures and work instructions of tasks to be executed with the use of technology"
tsc,WST-TEM-3025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,3,Implement technology plans and supervise use of technology to execute tasks,ability,Identify faults in the use of technologies systems processes and report to technical team
tsc,WST-TEM-3025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,3,Implement technology plans and supervise use of technology to execute tasks,knowledge,Performance metrics to measure effectiveness of new technologies
tsc,WST-TEM-3025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,3,Implement technology plans and supervise use of technology to execute tasks,ability,Interpret and extract relevant process parameters from given specifications
tsc,WST-TEM-3025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,3,Implement technology plans and supervise use of technology to execute tasks,ability,Implement technology integration plans to meet business requirements while adhering to risk management procedures
tsc,WST-TEM-3025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,3,Implement technology plans and supervise use of technology to execute tasks,ability,Generate ideas for the development of technology-enabled solutions to solve business problems
tsc,WST-TEM-3025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,3,Implement technology plans and supervise use of technology to execute tasks,ability,Assess performance of department to identify areas for change or improvement using technologies
tsc,WST-TEM-3025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,3,Implement technology plans and supervise use of technology to execute tasks,knowledge,Risks involved with implementation of new technologies
tsc,WST-TEM-3025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,3,Implement technology plans and supervise use of technology to execute tasks,knowledge,"Technology integration tools, plans and approaches"
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",knowledge,Control procedures for technology integration
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",ability,Develop optimisation plans to improve the application of technologies in business operations
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",knowledge,Types of logic control programs and best practices
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",ability,Recommend  optimisation techniques to technical teams to improve efficiency of processes
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",knowledge,Change Management and business transformation
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",knowledge,Methods of evaluating resources and skills to carry out tasks using automated technologies and robotic systems
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",knowledge,Procedures to support business continuity and disaster recovery
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",knowledge,Best practices in technology application
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",knowledge,Concepts pertaining to performance specifications and analysis
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",ability,Determine cost impact and risks associated with new technology applications
