TSC Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,TSC_CCS Type
ACC-AUD-4001-1.1,Accountancy,Assurance,Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities,tsc
ACC-AUD-4003-1.1,Accountancy,Assurance,Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements,tsc
ACC-AUD-4004-1.1,Accountancy,Assurance,Engagement Completion and Reporting,Perform procedures involved prior to expressing an opinion,tsc
ACC-AUD-4005-1.1,Accountancy,Assurance,Engagement Execution,Perform assurance procedures in accordance with the engagement plans,tsc
ACC-AUD-4006-1.1,Accountancy,Assurance,Engagement Planning,"Develop engagement plans which describe the nature, timing and extent of planned engagement procedures",tsc
ACC-AUD-4007-1.1,Accountancy,Assurance,Engagement Quality Control,Set up control procedures for an assurance engagement,tsc
ACC-AUD-4008-1.1,Accountancy,Assurance,Engagement Review,"Review evidence obtained, procedures performed, and conclusions reached for the engagement",tsc
ACC-AUD-5001-1.1,Accountancy,Assurance,Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities,tsc
ACC-AUD-5003-1.1,Accountancy,Assurance,Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements,tsc
ACC-AUD-5004-1.1,Accountancy,Assurance,Engagement Completion and Reporting,Perform procedures involved prior to expressing an opinion,tsc
ACC-AUD-5005-1.1,Accountancy,Assurance,Engagement Execution,Perform assurance procedures in accordance with the engagement plans,tsc
ACC-AUD-5006-1.1,Accountancy,Assurance,Engagement Planning,"Develop engagement plans which describe the nature, timing and extent of planned engagement procedures",tsc
ACC-AUD-5007-1.1,Accountancy,Assurance,Engagement Quality Control,Set up control procedures for an assurance engagement,tsc
ACC-AUD-5008-1.1,Accountancy,Assurance,Engagement Review,"Review evidence obtained, procedures performed, and conclusions reached for the engagement",tsc
ACC-AUD-6001-1.1,Accountancy,Assurance,Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities,tsc
ACC-AUD-6004-1.1,Accountancy,Assurance,Engagement Completion and Reporting,Perform procedures involved prior to expressing an opinion,tsc
ACC-AUD-6006-1.1,Accountancy,Assurance,Engagement Planning,"Develop engagement plans which describe the nature, timing and extent of planned engagement procedures",tsc
